Dim,Sparsity,conditionOnlyCanonical,conditionOnlyMean,mccc,mccm,mmcc,mmcm
100.0,0.1,0.010000000009313226,0.0,0.75,0.7600000000093132,0.0,0.0
100.0,0.2,0.010000000009313226,0.010000000009313226,0.7600000000093132,0.6599999999889405,0.0,0.009999999994761307
100.0,0.3,0.0,0.009999999951105565,0.7200000000011642,0.8899999999994179,0.0,0.0
100.0,0.4,0.009999999994761307,0.0,0.4900000000488944,0.1000000000349246,0.010000000009313226,0.0
100.0,0.5,0.03999999999359717,0.010000000009313226,0.5500000000465661,0.7000000000116415,0.0,0.0
100.0,0.6,0.0,0.009999999994761307,0.7300000000104774,0.7999999999883585,0.020000000004074536,0.009999999994761307
100.0,0.6998,0.0,0.010000000009313226,0.6300000000046566,0.5599999999976717,0.0,0.0
100.0,0.8,0.02000000001862645,0.04999999998835847,0.7699999999604188,0.7800000000279397,0.010000000009313226,0.009999999994761307
100.0,0.9,0.0,0.0,0.8300000000162981,0.7399999999906868,0.009999999994761307,0.0
200.0,0.1,0.010000000009313226,0.01999999996041879,1.7600000000093132,0.4200000000419095,0.039999999979045235,0.0
200.0,0.2,0.010000000009313226,0.020000000004074536,1.3199999999924328,0.5700000000069849,0.02999999999883585,0.010000000009313226
200.0,0.3,0.010000000009313226,0.010000000009313226,1.6300000000046566,0.6799999999930151,0.039999999979045235,0.009999999994761307
200.0,0.4,0.01999999996041879,0.010000000009313226,1.6799999999930149,0.5800000000017462,0.040000000008149066,0.0
200.0,0.5,0.020000000004074536,0.02000000001862645,1.3200000000069851,0.5500000000465661,0.039999999979045235,0.0
200.0,0.6,0.020000000004074536,0.009999999994761307,1.7400000000052387,0.6300000000046566,0.040000000008149066,0.009999999994761307
200.0,0.69995,0.1199999999953434,0.11000000004423782,1.5599999999976717,0.6300000000046566,0.039999999979045235,0.0
200.0,0.8,0.010000000009313226,0.02000000001862645,1.169999999983702,1.0,0.0400000000372529,0.0
200.0,0.9,0.010000000009313226,0.02000000001862645,1.9799999999813729,0.1300000000046566,0.02999999996973202,0.0
300.0,0.1,0.10000000000582077,0.21000000000640284,2.0900000000110595,0.17000000004190952,0.039999999979045235,0.0
300.0,0.2,0.0599999999976717,0.180000000007567,2.8500000000058208,0.2000000000116416,0.03000000002793968,0.009999999994761307
